Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2015-01-02,24.214893341064453,24.68222562747745,23.776353422468404,24.671150729967486,212818400
2015-01-05,23.532726287841797,24.064289384302135,23.346680133466553,23.98455483534346,257142000
2015-01-06,23.534934997558594,23.794071364016485,23.173914310644687,23.59695036493737,263188400
2015-01-07,23.864944458007812,23.964611763586213,23.632385158602347,23.743127360263635,160423600
2015-01-08,24.78189468383789,24.8394811133024,24.075358755914475,24.192746932459276,237458000
2015-01-09,24.8084659576416,25.083106116593303,24.409793396428064,24.954644770225418,214798000
2015-01-12,24.197172164916992,24.9457888739138,24.097504854799798,24.93914461187825,198603200
2015-01-13,24.412012100219727,24.98344228730691,24.121868061955624,24.68000803529737,268367600
2015-01-14,24.318986892700195,24.471809973965815,24.03105650747729,24.150658281810262,195826400
2015-01-15,23.658966064453125,24.376575123869163,23.62352943536436,24.36328659918488,240056000
2015-01-16,23.475128173828125,23.827289204880216,23.30015531673568,23.705472124059003,314053200
2015-01-20,24.079790115356445,24.135161228870494,23.58809435698492,23.884882714319932,199599600
2015-01-21,24.26361656188965,24.598056787392125,23.98011511203048,24.130724570790218,194303600
2015-01-22,24.894845962524414,24.910349802350176,24.301267725236684,24.42086949951762,215185600
2015-01-23,25.023305892944336,25.193848121334245,24.702152529390762,24.872696447572384,185859200
2015-01-26,25.049882888793945,25.328953679050635,24.983438589070154,25.19163275595474,222460000
2015-01-27,24.17281723022461,24.912576309397437,24.148453801013396,24.899286090868777,382274800
2015-01-28,25.539369583129883,26.161741992686807,25.539369583129883,26.05321340320937,585908400
2015-01-29,26.33449935913086,26.398730047323408,25.59474047597541,25.76306911779753,337745600
2015-01-30,25.949115753173828,26.57813070202149,25.880454433135018,26.223755963952947,334982000
2015-02-02,26.27469825744629,26.394300056676855,25.709913954726144,26.146238567717603,250956400
2015-02-03,26.279123306274414,26.376575289167604,26.04877933706831,26.245900309696186,207662800
2015-02-04,26.480674743652344,26.691085940867783,26.20381923925721,26.245901816658677,280598800
2015-02-05,26.669679641723633,26.734163811771065,26.516251730353517,26.687467032819562,168984800
2015-02-06,26.445106506347656,26.738619769850555,26.338373639409618,26.68747654900368,174826400
2015-02-09,26.620765686035156,26.64744762610821,26.33392295502217,26.36060659155632,155559200
2015-02-10,27.132186889648438,27.16109458407621,26.71860158755748,26.72082395138966,248034000
2015-02-11,27.768131256103516,27.77702580044334,27.23891859134053,27.298954645058252,294247200
2015-02-12,28.119462966918945,28.34626964549883,27.921563986537944,28.030519204661367,297898000
2015-02-13,28.257326126098633,28.301797159379046,27.93935331840626,28.301797159379046,217088800
2015-02-17,28.424095153808594,28.65757232057261,28.22174804975162,28.34849236119064,252609600
2015-02-18,28.621994018554688,28.635334989242327,28.339597698284383,28.379622306808475,179566800
2015-02-19,28.561954498291016,28.690922861865086,28.535272558559186,28.568624983223973,149449600
2015-02-20,28.795434951782227,28.795434951782227,28.473015702335196,28.59975832351753,195793600
2015-02-23,29.573680877685547,29.573680877685547,28.83100429250197,28.911053489241137,283896400
2015-02-24,29.389123916625977,29.707098350862747,29.166765406194134,29.560340919676545,276912400
2015-02-25,28.637561798095703,29.2623922966303,28.49525243380308,29.25349605284289,298846800
2015-02-26,28.999998092651367,29.10005874917597,28.152812664929638,28.637552615299487,365150000
2015-02-27,28.564178466796875,29.0333551042649,28.515259318403285,28.906609112630072,248059200
2015-03-02,28.704261779785156,28.968868972950617,28.528600034237698,28.739839958832356,192386800
2015-03-03,28.764307022094727,28.799885210405318,28.481910665878914,28.675364944241025,151265200
2015-03-04,28.58196449279785,28.80877114769695,28.533048736762723,28.70648812200263,126665200
2015-03-05,28.10834503173828,28.628663222806804,27.963811635398883,28.590862676575895,226068400
2015-03-06,28.150588989257812,28.766521358455478,28.07498790488838,28.550833317284816,291368400
2015-03-09,28.270660400390625,28.810993335881307,27.808154299397792,28.452994307989236,354114000
2015-03-10,27.68585968017578,28.288451063187917,27.52798533523556,28.108341205636272,275426400
2015-03-11,27.18111228942871,27.743679224261488,27.15220628481303,27.739232799113434,275756000
2015-03-12,27.672521591186523,27.77258395917488,27.045470531678525,27.19667441748349,193450800
2015-03-13,27.481290817260742,27.883760923464692,27.256709915985283,27.661402386110844,207309200
2015-03-16,27.78369903564453,27.78369903564453,27.32119455940393,27.54577546449357,143497200
2015-03-17,28.248432159423828,28.31069228587761,27.93935389134169,27.99494353231274,204092400
2015-03-18,28.566408157348633,28.719836126395787,28.099455460442414,28.23954076057586,261083600
2015-03-19,28.350709915161133,28.73983730615354,28.32847440353944,28.62865805158428,183238000
2015-03-20,27.994945526123047,28.550840278963356,27.830400652138934,28.517487849174326,274780400
2015-03-23,28.286231994628906,28.428541336208223,28.13280404655136,28.266220538685488,150838800
2015-03-24,28.170604705810547,28.470786706839743,28.141697009126034,28.29067852409887,131369200
2015-03-25,27.43459129333496,28.199505081055445,27.43459129333496,28.137244972094148,206620800
2015-03-26,27.625822067260742,27.768131384433865,27.261154229947007,27.296732407470724,190291600
2015-03-27,27.405689239501953,27.728108434323467,27.330088152452873,27.69920243570958,158184800
2015-03-30,28.099451065063477,28.10612155024622,27.57246068163208,27.58357928791074,188398800
2015-03-31,27.668073654174805,28.126131711225387,27.652508623977777,28.037187954473346,168362400
2015-04-01,27.628049850463867,27.82150239978064,27.37233717855166,27.7547941561649,162485600
2015-04-02,27.865976333618164,27.919341916192426,27.614711756555614,27.801492143796175,128880400
2015-04-06,28.317359924316406,28.352938105262208,27.64583787534428,27.67696793544134,148776000
2015-04-07,28.01940155029297,28.488576533226613,28.012731065181562,28.38184537852191,140049200
2015-04-08,27.92823028564453,28.106117783496007,27.788145026197608,27.983819916665507,149316800
2015-04-09,28.141693115234375,28.146141235552395,27.719213293907522,27.983818773161346,129936000
2015-04-10,28.261775970458984,28.286235550661125,27.85263698609843,28.006063257002946,160752000
2015-04-13,28.2061767578125,28.588635364311845,28.152811190225506,28.544160947811203,145460400
2015-04-14,28.083885192871094,28.304019679612928,27.997165495170943,28.239535497342878,102098400
2015-04-15,28.19061851501465,28.268443673239815,28.019403166919286,28.10834693194571,115881600
2015-04-16,28.054975509643555,28.261769011778117,28.041634540622283,28.0794350838232,113476000
2015-04-17,27.739233016967773,28.048311309255556,27.674748824815893,27.91712056059098,207828000
2015-04-20,28.372953414916992,28.488579125779587,27.832622017726813,27.921565785715647,188217200
2015-04-21,28.219526290893555,28.50636734678086,28.16615901385577,28.484133526040274,129740400
2015-04-22,28.59975814819336,28.655347790616638,28.088334455775946,28.237314290319635,150618000
2015-04-23,28.833229064941406,28.999997956003867,28.493020798607734,28.528598976335616,183083600
2015-04-24,28.96886444091797,29.046691271292865,28.73538734271465,29.01556121772718,178103600
2015-04-27,29.49585723876953,29.60259177459487,29.16231944838953,29.42025615391798,387816800
2015-04-28,29.031131744384766,29.916117823343757,28.810998951360652,29.898332125115758,475696000
2015-04-29,28.60420036315918,29.26015732972162,28.5285992793757,28.942186269320725,253544400
2015-04-30,27.828170776367188,28.60420158242397,27.701426480269312,28.60420158242397,332781600
2015-05-01,28.673133850097656,28.93551869889833,27.861526513744302,28.039412332804034,234050400
2015-05-04,28.617549896240234,29.033362767335465,28.51971157362959,28.795437447084783,203953200
2015-05-05,27.972705841064453,28.561954632389803,27.968257720114217,28.495246389824892,197085600
2015-05-06,27.79704475402832,28.1839481830708,27.430152781583676,28.141699512749295,288564000
2015-05-07,27.968976974487305,28.152072553223462,27.69209940387363,27.859564934554776,175763600
2015-05-08,28.495935440063477,28.495935440063477,28.158771026473666,28.28604476221257,222201600
2015-05-11,28.20565414428711,28.482529943603403,28.051585348625007,28.444571508121946,168143200
2015-05-12,28.105180740356445,28.330699748396363,27.8707283299041,28.044892198904186,192640000
2015-05-13,28.136442184448242,28.399921351191814,28.10518208869455,28.167702280201933,138776800
2015-05-14,28.792896270751953,28.792896270751953,28.393213508187397,28.44903533244519,180814000
2015-05-15,28.752714157104492,28.913481328066453,28.627673781266235,28.81970104618776,152832000
2015-05-18,29.069778442382812,29.188120456362167,28.661162213945016,28.665628914593572,203531600
2015-05-19,29.04298210144043,29.223844277743762,28.946966786271936,29.181419143629356,178532800
2015-05-20,29.040754318237305,29.246178286398866,28.879987141920466,29.027357621393374,145819600
2015-05-21,29.337732315063477,29.391322519381163,28.98940450473713,29.042994709054817,158921600
2015-05-22,29.594499588012695,29.690514906309943,29.339952182125543,29.384612371339564,182384000
2015-05-26,28.9425106048584,29.677128031092586,28.83086690907407,29.607909484841535,282790400
2015-05-27,29.482860565185547,29.53198405537011,29.038520913645133,29.103272746836808,183332800
2015-05-28,29.424806594848633,29.462765035348177,29.272972832850446,29.44266999162981,122933200
2015-05-29,29.089876174926758,29.351121969971384,29.005025890228723,29.301998479577218,203538000
2015-06-01,29.147926330566406,29.337721922416165,29.038517720264473,29.089872851775468,128451200
2015-06-02,29.018428802490234,29.174729283831766,28.875525018535836,28.99609870211503,134670400
2015-06-03,29.054147720336914,29.237244975360273,29.00502423274989,29.1747247924485,123934000
2015-06-04,28.88445281982422,29.156863669648438,28.78397418995997,28.933576311241353,153800400
2015-06-05,28.725921630859375,28.95814242661696,28.661169786272197,28.915717276982676,142507200
2015-06-08,28.536128997802734,28.85096503401967,28.319539957888548,28.78174308146443,210699200
2015-06-09,28.451271057128906,28.59864151199639,28.049354886989374,28.29050390765424,224301600
2015-06-10,28.77726936340332,28.879979617175298,28.547282005039268,28.56291204846722,156349200
2015-06-11,28.712522506713867,29.067548612456317,28.68796075937411,28.84426123922032,141563600
